Line Tag,Cluster Sequence
"<f49r.3,+P0>","[None, None, None, 8, 8, None]"
"<f49r.4,+P0>","[None, None, None, 3]"
"<f49r.5,+P0>","[None, None, None, None, None]"
"<f49r.6,+P0>","[6, 8, None, None, None]"
"<f49r.7,+P0>","[None, None, None, None]"
"<f49r.8,+P0>","[7, None, None, None, None]"
"<f49r.9,+P0>","[None, None, None, None]"
"<f49r.10,+P0>","[None, 8, None, None, None]"
"<f49r.11,+P0>","[None, None]"
"<f49r.12,+P0>","[5, None, None, 8, None]"
"<f49r.13,+P0>","[8, None, None, 8, None]"
"<f49r.14,+P0>","[None, None, None, None, 0, 8]"
"<f49r.15,+P0>","[None, None, None, None, 8]"
"<f49r.16,+P0>","[None, None, None, None]"
"<f49r.17,+P0>","[6, 6, None, None, None, None, None]"
"<f49r.18,+P0>","[None, None, 6, None, None, None]"
"<f49r.19,+P0>","[None, 8, None, None, None, None]"
"<f49r.20,+P0>","[None, None, None, None, None, 5]"
"<f49r.21,+P0>","[None, None, 7, None]"
<f49v>,[]
"<f49v.1,@L0>",[8]
"<f49v.2,=P0>","[None, None, None, None]"
"<f49v.3,*L0>",[8]
"<f49v.4,=P0>","[None, None, None, None]"
"<f49v.5,*L0>",[8]
"<f49v.6,=P0>","[None, None, None, 9]"
"<f49v.7,*L0>",[8]
"<f49v.8,=P0>","[None, None, 8]"
"<f49v.9,*L0>",[7]
"<f49v.10,=P0>","[None, None, None]"
"<f49v.11,*L0>",[8]
"<f49v.12,=P0>","[None, None, None]"
"<f49v.13,*L0>",[8]
"<f49v.14,=P0>","[None, None, 9]"
"<f49v.15,*L0>",[8]
"<f49v.16,=P0>","[None, None, 8, 8, 8]"
"<f49v.17,*L0>",[8]
"<f49v.18,=P0>","[None, None, None]"
"<f49v.19,*L0>",[8]
"<f49v.20,=P0>","[None, None, 3]"
"<f49v.21,*L0>",[8]
"<f49v.22,=P0>","[None, None, 8, None]"
"<f49v.23,*L0>",[8]
"<f49v.24,=P0>","[None, None, 8, 8, None]"
"<f49v.25,*L0>",[7]
"<f49v.26,=P0>","[None, None, 0, None, None, 8]"
"<f49v.27,*L0>",[8]
"<f49v.28,=P0>","[None, None, None, None, None, None]"
"<f49v.29,*L0>",[8]
"<f49v.30,=P0>","[None, 8, None, None, None, None, None]"
"<f49v.31,*L0>",[8]
"<f49v.32,=P0>","[None, None, None, None, None, None]"
"<f49v.33,*L0>",[8]
"<f49v.34,=P0>","[None, 8, None, None]"
"<f49v.35,*L0>",[8]
"<f49v.36,=P0>","[None, None, None, None, None, None, None]"
"<f49v.37,*L0>",[8]
"<f49v.38,=P0>","[None, None, None, None, None, 8, 8, 8, None]"
"<f49v.39,*L0>",[7]
"<f49v.40,=P0>","[8, None, 8, None, None, None, None]"
"<f49v.41,*L0>",[8]
"<f49v.42,=P0>","[None, None, None, None, None, 8, None, 5]"
"<f49v.43,*L0>",[8]
"<f49v.44,=P0>","[None, None, 3, None, 8, None, 8, None, 8]"
"<f49v.45,*L0>",[8]
"<f49v.46,=P0>","[8, None, 8, None, None, None, 3, None, 8]"
"<f49v.47,*L0>",[7]
"<f49v.48,=P0>","[None, None, None, None, None, None]"
"<f49v.49,*L0>",[8]
"<f49v.50,=P0>","[None, None, None, None, None, None, 5]"
"<f49v.51,*L0>",[8]
"<f49v.52,=P0>","[None, 8, None, 8]"
<f50r>,[]
"<f50r.1,@P0>","[None, 6, None, None, None, 5, 6, None]"
"<f50r.2,+P0>","[8, None, None, None, 3, 8, 9, 8, 5, 8, 3, 9]"
"<f50r.3,+P0>","[None, 9, None, None, None, None, None, None, None, 8]"
"<f50r.4,+P0>","[None, None, None, None, None, 8, 3, 3, None, 6]"
"<f50r.5,+P0>","[None, None, None, None, 8, 3, 8, None, 9, 3, 8]"
"<f50r.6,+P0>","[2, None, None, 9, None, None, None, 8, None]"
"<f50r.7,+P0>","[5, None, 8, 0, 0, None, 9, 5, None, 5]"
"<f50r.8,+P0>","[2, None, None, 3, 9, None, 5, 5]"
"<f50r.9,+P0>","[None, None, None, 8, None, 3, 3]"
"<f50r.10,+P0>","[3, None, 3, None]"
<f50v>,[]
"<f50v.1,@P0>","[None, 8, 3, None, None, None, None, None, 3, 3]"
"<f50v.2,+P0>","[None, None, 8, None, None, None, 8, None, None, 8]"
"<f50v.3,+P0>","[None, None, None, None, 3, None, None, 8, 9]"
"<f50v.4,+P0>","[3, None, 6, 6, 8, 6, None, None, 0, None, 8]"
"<f50v.5,+P0>","[None, 5, None, None, None, None, None, None, None]"
"<f50v.6,+P0>","[8, None, 9, None, None, 8, None, None, 5, None]"
"<f50v.7,+P0>","[None, 6, 3, 8, 2, 8, None, None, 9, 5]"
"<f50v.8,+P0>","[2, 9, 0, None, None, 9, None, 6, 8, None]"
"<f50v.9,+P0>","[None, 3, None, None, None, 0, 8, 8]"
"<f50v.10,+P0>","[None, 9, None, None, None, 3, 5]"
"<f50v.11,+P0>","[None, 9, None, None]"
<f51r>,[]
"<f51r.1,@P0>","[None, None, None, None]"
"<f51r.2,+P0>","[None, None, None, None]"
"<f51r.3,+P0>","[None, None, 0, None, None]"
"<f51r.4,+P0>","[8, None, 9, None, None, None]"
"<f51r.5,+P0>","[None, None, None, None, 3]"
"<f51r.6,+P0>","[None, None, None, 2]"
"<f51r.7,+P0>","[None, None, None, None, None]"
"<f51r.8,+P0>","[None, 6, None, None, None, 0]"
"<f51r.9,+P0>","[8, 8, 5, None, 3, None, None]"
"<f51r.10,+P0>","[None, 3, None, None, None, None, 9]"
"<f51r.11,+P0>","[None, None, None, None, 9]"
"<f51r.12,+P0>","[None, None, 9, None, None, None, None]"
"<f51r.13,+P0>","[8, None, None, None, None, None]"
"<f51r.14,+P0>","[None, None, 5, None, 8, 3, 8]"
"<f51r.15,+P0>","[None, None, None, 8, 8, 3, 0]"
<f51v>,[]
"<f51v.1,@P0>","[None, None, None, None, None, 5]"
"<f51v.2,+P0>","[None, None, None, 3, None, None, 8, None]"
"<f51v.3,+P0>","[None, None, None, None, None, None, 8, 2]"
"<f51v.4,+P0>","[0, None, 2, None, 8, 8, None, 8, None]"
"<f51v.5,+P0>","[5, 2, None, None, None, 2, 0, 3, 8]"
"<f51v.6,+P0>","[9, None, None, None, None, 0, None]"
"<f51v.7,+P0>","[None, None, None, None, 8, None, None, 8, None]"
"<f51v.8,+P0>","[None, None, None, None, 2]"
"<f51v.9,+P0>","[8, None, None, None]"
"<f51v.10,+P0>","[None, None, None, 3]"
"<f51v.11,+P0>","[None, None, None, None]"
"<f51v.12,+P0>","[None, 8, None]"
"<f51v.13,+P0>","[8, None, None]"
<f52r>,[]
"<f52r.1,@P0>","[None, None, 2, None, None, None, None, 3, 2]"
"<f52r.2,+P0>","[0, None, 2, None, 9, None, 3, 0, 3]"
"<f52r.3,+P0>","[None, None, None, None, None, 8, 2]"
"<f52r.4,+P0>","[None, None, None, 0, 3, 0, 8, None]"
"<f52r.5,+P0>","[8, None, None, None, None, 8, 2, None]"
"<f52r.6,+P0>","[8, None, None, 8, None, None, None, 8]"
"<f52r.7,+P0>","[None, None, 3, None, None, 8, None, 5, 3]"
"<f52r.8,+P0>","[8, None, 8, None, 9, 8, None, None, 8]"
<f52v>,[]
"<f52v.1,@P0>","[None, None, None, None, 2, None]"
"<f52v.2,+P0>","[None, None, None, None, 9, None, None, None, 8]"
"<f52v.3,+P0>","[6, None, None, 3, None, 2, None, 0]"
"<f52v.4,+P0>","[None, None, None, None, None, None, 8]"
"<f52v.5,+P0>","[None, None, None, None, 8, 3]"
"<f52v.6,+P0>","[None, None, 0, None]"
"<f52v.7,+P0>","[None, None, None, 8]"
"<f52v.8,+P0>","[9, None, None, 8, 6]"
"<f52v.9,+P0>","[8, None, None, None, 8]"
"<f52v.10,+P0>","[None, None, None, 3, 8]"
"<f52v.11,+P0>","[8, None, None, None, 5]"
"<f52v.12,+P0>","[None, None, None, None]"
"<f52v.13,+P0>","[2, 9, None, 5]"
"<f52v.14,+P0>","[6, None, None]"
<f53r>,[]
"<f53r.1,@P0>","[9, None, 0]"
"<f53r.2,+P0>","[8, 8, None, 0]"
"<f53r.3,+P0>","[None, None, 8]"
"<f53r.4,+P0>","[None, 2, None, 0]"
"<f53r.5,+P0>","[None, 0, None, None, 2, None, None, None, 0]"
"<f53r.6,+P0>","[None, None, None, 3, None, None, None, None, 3]"
"<f53r.7,+P0>","[5, 0, None, None, None, None, 8, None, None]"
"<f53r.8,+P0>","[None, 3, None, None, None, 7, None, 8, 2]"
"<f53r.9,+P0>","[0, None, None, 3, 5, None, None]"
<f53v>,[]
"<f53v.1,@P0>","[None, None, None, None, 8, None]"
"<f53v.2,+P0>","[None, 8, None, None, None, None, None, 8]"
"<f53v.3,+P0>","[3, None, None, None, None, 8, 0]"
"<f53v.4,+P0>","[None, 5, None, None, 5, 8]"
"<f53v.5,+P0>","[None, None, None, 8, None, 2]"
"<f53v.6,+P0>","[None, None, None, None, None]"
"<f53v.7,+P0>","[5, None, None, None, None, 6]"
"<f53v.8,+P0>","[None, None, None, None, None, 6]"
"<f53v.9,+P0>","[8, None, 8, None, None, None, None, None]"
"<f53v.10,+P0>","[None, None, None]"
"<f53v.11,+P0>","[None, 8, None, None, None]"
"<f53v.12,+P0>","[None, None, 8, 9, 3]"
"<f53v.13,+P0>","[None, 0]"
<f54r>,[]
"<f54r.1,@P0>","[5, None, None, None, None, None]"
"<f54r.2,+P0>","[2, None, None, None, None, 3]"
"<f54r.3,+P0>","[5, None, 0, None, 6, 8, 3, 8, None, 8]"
"<f54r.4,+P0>","[3, None, None, 9, None, 8, None, None]"
"<f54r.5,+P0>","[3, None, None, None]"
"<f54r.6,+P0>","[9, None, None, None, None, None, None, None, None, 8]"
"<f54r.7,+P0>","[8, 8, None, None, None, 8, None, None, 3, None, 8, 8]"
"<f54r.8,+P0>","[None, 9, None, 3, None, 8, 8, None, None]"
"<f54r.9,+P0>","[8, 8, 8, 6, 5, None, None, None, 8, 8, None, None, 8]"
"<f54r.10,+P0>","[3, 6, 8, 8, None, None, None, 9, 8, None, 6]"
"<f54r.11,+P0>","[8, 9, 8, 6, None, None, None, 8, 8, None, None, 3]"
"<f54r.12,+P0>","[8, None, 8, 8, 3, 8, None, 3]"
<f54v>,[]
"<f54v.1,@P0>","[None, None, 6, None, 3, None, None, 8, 3]"
"<f54v.2,+P0>","[None, None, 8, 3, None, None, None, None]"
"<f54v.3,+P0>","[2, 2, 8, None, None, 2, None]"
"<f54v.4,+P0>","[3, None, None, None, 8, None, None]"
"<f54v.5,+P0>","[6, 2, None, None, None, 8, 8]"
"<f54v.6,+P0>","[8, None, None, None, None]"
"<f54v.7,+P0>","[8, None, None, 8, 8, None]"
"<f54v.8,+P0>","[5, None, None, 9, 8]"
"<f54v.9,+P0>","[3, None, None, 2, 9, 8]"
"<f54v.10,+P0>","[9, 9, None, None, 3, None]"
"<f54v.11,+P0>","[8, None, None]"
"<f54v.12,+P0>","[8, None, None, 8]"
"<f54v.13,+P0>","[None, 9, None]"
"<f54v.14,+P0>","[3, None, 5, 3]"
"<f54v.15,+P0>","[8, None, 2, 8, None]"
"<f54v.16,+P0>","[8, None, 3]"
<f55r>,[]
"<f55r.1,@P0>","[5, None, None, 8, 2, None, None, 8, 5]"
"<f55r.2,+P0>","[9, 3, 8, None, 2, 8, None, 8, 3, 2, 8, 3]"
"<f55r.3,+P0>","[2, None, None, 8, None, None, None, 8, None, 8, 8]"
"<f55r.4,+P0>","[8, 8, 5, None, 3, 8, None, 2, 6, None]"
"<f55r.5,+P0>","[8, 8, 8, 9, None, None, None, 6, 9, 6]"
"<f55r.6,+P0>","[None, 8, None, 9, 9, 9, None]"
"<f55r.7,+P0>","[None, None, None, None, None, None, 6]"
"<f55r.8,+P0>","[None, None, None, 8, 6, None, None, None, 8]"
"<f55r.9,+P0>","[8, None, 3, None, 3, None, None, 3, 8, 8, 5]"
"<f55r.10,+P0>","[5, 9, None, 3, 5, 8, 3, 6, None, None, 6]"
"<f55r.11,+P0>","[None, None, None, 8, None, 9, 3, None, 0, 0]"
"<f55r.12,+P0>","[6, None, 3, 6, 8, 8, None, None, 8, 8]"
"<f55r.13,+P0>","[None, None, 8, 0, 0, None, 3]"
<f55v>,[]
"<f55v.1,@P0>","[None, None, None, 0, 3]"
"<f55v.2,+P0>","[None, None, None, None, None, None]"
"<f55v.3,+P0>","[None, 3, 3, None, 3, None, 3, 8, 6, 9, 8]"
"<f55v.4,+P0>","[8, None, None, None, 3, None, None, 8]"
"<f55v.5,+P0>","[None, None, 2, 2, 8, 8, None, 5]"
"<f55v.6,+P0>","[2, 8, 2, None, 5]"
"<f55v.7,+P0>","[None, 2, None, 8, 3, None, None, None, 3, 3, 3]"
"<f55v.8,+P0>","[3, None, None, 8, None, None, 5, 8]"
"<f55v.9,+P0>","[2, None, 9, None, 8, 8, 8, 8, 2, 5]"
"<f55v.10,+P0>","[8, 6, 8, 8, 8, 8, 2, 0, 2, 2, 6]"
"<f55v.11,+P0>","[2, None, None, 6, 8, 9, None, 8, 8, 5]"
"<f55v.12,+P0>","[8, 3, None, None, 3, 3, 8, 8, 0]"
<f56r>,[]
"<f56r.1,@P0>","[None, None, 0, None, None, None, None, None]"
"<f56r.2,+P0>","[None, None, None, 9, None, None, None, None]"
"<f56r.3,+P0>","[None, None, None, None, None, None, None, None]"
"<f56r.4,+P0>","[None, None, None, None, None, 8, None]"
"<f56r.5,+P0>","[None, None, None, 8]"
"<f56r.6,+P0>","[None, 8, None, None, 8, 8]"
"<f56r.7,+P0>","[None, None, None, None, 3]"
"<f56r.8,+P0>","[None, None, None, None]"
"<f56r.9,+P0>","[None, None, None, None]"
"<f56r.10,+P0>","[None, None, None, 2, None, 8, 8, 8]"
"<f56r.11,+P0>","[None, 8, None, None, None]"
"<f56r.12,+P0>","[None, None, None, None]"
"<f56r.13,+P0>","[None, None, None]"
"<f56r.14,+P0>","[8, None, None, None]"
"<f56r.15,+P0>","[None, None, None]"
"<f56r.16,+P0>","[None, None, None, None, None]"
"<f56r.17,+P0>","[None, None, None, 8, 8, 8]"
"<f56r.18,+P0>","[None, None, None, 5]"
"<f56r.19,+P0>","[None, None, 8]"
<f56v>,[]
"<f56v.1,@P0>","[None, None, None, None, None, None, None]"
"<f56v.2,+P0>","[None, None, None, 8, None, None]"
"<f56v.3,+P0>","[None, None, None, None, 8, None, 3]"
"<f56v.4,+P0>","[None, None, 8, None, 5, 8]"
"<f56v.5,+P0>","[None, None, None, 8]"
"<f56v.6,+P0>","[None, None, None]"
"<f56v.7,+P0>","[None, None, None, None, None]"
"<f56v.8,+P0>","[None, None, None, None, 9]"
"<f56v.9,+P0>","[None, None, None, 8, 8]"
"<f56v.10,+P0>","[None, None, None, 2, None, 2]"
"<f56v.11,+P0>","[None, None, None, None, None]"
"<f56v.12,+P0>","[None, None, None, None]"
"<f56v.13,+P0>","[2, 8, None, None, None, 8]"
"<f56v.14,+P0>","[None, None, None, None, None, None]"
"<f56v.15,+P0>","[None, None, None, 8, None]"
"<f56v.16,+P0>","[None, None, None, 8]"
<f57r>,[]
"<f57r.1,@P0>","[None, 6, None, None, None, 8, None, None, None]"
"<f57r.2,+P0>","[5, 3, None, None, None, None, None, None, None, 8, 6, None]"
"<f57r.3,+P0>","[None, None, None, None, None, None, None, None]"
"<f57r.4,+P0>","[None, None, None, None, None, None, None, None]"
"<f57r.5,+P0>","[None, None, None]"
"<f57r.6,+P0>","[None, 9, None, None, None, None, 8, None, 3]"
"<f57r.7,+P0>","[5, None, None, None, None, None, None, 9]"
"<f57r.8,+P0>","[5, None, None, None, None, None, 3, None]"
"<f57r.9,+P0>","[6, None, None, 8, 3, 3, 5, None, 8, None, None]"
"<f57r.10,+P0>","[None, 9, None, 8, None, None, None, None]"
"<f57r.11,+P0>","[None, None, None]"
<f57v>,[]
"<f57v.1,@L0>",[5]
"<f57v.2,@Cc>","[3, 5, None, 8, 3, None, 8, 8, None, 3, 3, 8, None, None, 3, 8, None, None, 6, 3, 3, 2, 8, 8, 5, None, None, 3, 0, None, 3, 8, 8, 3, 5, 3, None, 5, None, 9, 9, 8, 8, 3, None, 3, 8, 8, None, 8]"
"<f57v.3,+Cc>","[8, 3, 8, 8, 3, 8, 8, 8, 3, 8, 3, 8, 8, 3, 8, 8, 8, 8, 3, 8, 8, 3, 8, 8, 8, 3, 8, 3, 8, 8, 3, 8, 7, 8, 8, 3, 8, 8, 3, 8, 8, 8, 8, 8, 3, 8, 8, 3, 8, 7, 8, 8, 3, 8, 8, 3, 8, 8, 8, 8, 8, 3, 8, 8, 3, 8, 7, 8]"
"<f57v.4,+Cc>","[8, None, None, None, 8, 8, None, 3, 8, None, None, 8, 3, 8, 8, None, 8, None, 8, None, 3, None, None, None, 3, 8, 8, 8, 0, 8, 3]"
"<f57v.5,+Cc>","[8, 3, 3, 8, 8, 8, 8, 8, 7, 3, 8, 8, 3, 8, 8, 3, 8, 8, 8, 8, 8, 3, 3, 8, 8, 8, 8, 3, None, 0, None, None, 8, 8, 3]"
"<f57v.6,@L0>",[0]
"<f57v.7,@L0>",[6]
"<f57v.8,@L0>",[None]
"<f57v.9,@L0>",[0]
"<f57v.10,@Ro>",[3]
"<f57v.11,@Ro>",[5]
"<f57v.12,@Ro>",[None]
"<f57v.13,@Ro>","[None, None]"
<f58r>,[]
"<f58r.1,@P0>","[9, None, None, None, None, None, 0, 3]"
"<f58r.2,+P0>","[None, 8, None, None, None, 3, 2, 2, None]"
"<f58r.3,+P0>","[None, 3, 2, None, None, 0, None, 8]"
"<f58r.4,+P0>","[None, None, 8, None, None, None, None, 3, None]"
"<f58r.5,+P0>","[None, None, 8, 0, 0, None, 3, 3, None, 3, 3, 2, None]"
"<f58r.6,+P0>","[None, 0, None, None, 0, None, None, None]"
"<f58r.7,+P0>","[8, None, 3, None, None, 2, None, None, 8, None]"
"<f58r.8,+P0>","[None, None, 3, None, None, None, None, 5]"
"<f58r.9,+P0>","[None, None, None, None, 8, 5, None, 8, 7, 5]"
"<f58r.10,+P0>","[3, 3, 8, None, None, 0, 3, 0, None, None, None, 8]"
"<f58r.11,+P0>","[None, None, None, None, 0, 3, 5]"
"<f58r.12,+P0>","[None, 3, None, None, 3, None, 8, 3, None]"
"<f58r.13,+P0>","[2, None, None, None, None, None, None, None, 6, 6]"
"<f58r.14,+P0>","[None, 9, None, None, 3, None, 2, 9, 6, None]"
"<f58r.15,+P0>","[5, None, None, None, 8, None]"
"<f58r.16,+P0>","[None, 3, 3, None, None, None, None, None, 3, None, 8]"
"<f58r.17,+P0>","[None, None, 8, 2, None, None, 3, None, 8, 6, 3]"
"<f58r.18,+P0>","[5, None, None, None, 6, None, 3, 8, 9, 0]"
"<f58r.19,+P0>","[5, None, None, 3, None, 0, 9, None, None, None]"
"<f58r.20,+P0>","[None, None, None, 3, None, 3, 0, 3, 5]"
"<f58r.21,+P0>","[None, None, None, None, None, 8, None, None, None, 0]"
"<f58r.22,+P0>","[None, 2, None, 3, None, None, 6, None, None, None]"
"<f58r.23,+P0>","[None, None, None, None, None, None, 0, None, 3]"
"<f58r.24,+P0>","[None, None, None, 3, 0, None, None, 0]"
"<f58r.25,+P0>","[6, None, None, 0, 5, 8, 5]"
"<f58r.26,+P0>","[None, None, None, None, None, 6, 5]"
"<f58r.27,+P0>","[None, 0, None, 3, None, 3, 3, None, None, None, 8, 3, 8]"
"<f58r.28,+P0>","[None, 6, 3, None, 8, 3, None, 6, 9]"
"<f58r.29,+P0>","[6, None, 3, 3, 3, None, None, 3, 3, None, None, 8, 8]"
"<f58r.30,+P0>","[2, 3, 3, None, None, 5, None, None, None, 0]"
"<f58r.31,+P0>","[None, 3, 9, 8, None, None, None, None, 9, None]"
"<f58r.32,+P0>","[None, None, None, None, 3, 3, None, None]"
"<f58r.33,+P0>","[None, 3, None, None, None, None, None, 8]"
"<f58r.34,+P0>","[None, None, 3, None, None, 9, 2]"
"<f58r.35,+P0>","[3, None, None, None, None, None, 3, 8, None]"
"<f58r.36,+P0>","[3, None, None, None, None, None, None]"
"<f58r.37,+P0>","[None, None, None, None, None, None, None]"
"<f58r.38,+P0>","[None, 9, None, None, 2, 3, 8, 8, 2]"
"<f58r.39,+P0>","[None, 3, 8, 6, None, None, None, 5, 5]"
"<f58r.40,+P0>","[None, 5, None, None, 3, 2, 9, 5]"
"<f58r.41,+P0>","[None, None, 8, 3, 9, None]"
<f58v>,[]
"<f58v.1,@P0>","[8, None, 3, 8, None, 2, 2, 6, 6]"
"<f58v.2,+P0>","[5, 3, None, 5, 8, None, 8, None, None, 3, 5, 8]"
"<f58v.3,+P0>","[5, None, None, None, None, None, 3, 3, 3]"
"<f58v.4,+P0>","[8, 8, 9, 8, 5, 3, None, None, None, 8, 6, 9]"
"<f58v.5,+P0>","[5, 5, None, None, None, None, 9, None, 9]"
"<f58v.6,+P0>","[None, 3, 3, None, 8, None, 3, 2, None, None, 9, 8]"
"<f58v.7,+P0>","[8, 8, None, None, None, None, None, None, 8, None]"
"<f58v.8,+P0>","[3, None, 3, None, 8, 2, 8, 0, 2, 2, 8]"
"<f58v.9,+P0>","[5, None, None, None, None, None, None, 6]"
"<f58v.10,+P0>","[2, None, 9, None, None, None, None, 9, 9, 8]"
"<f58v.11,+P0>","[None, None, 3, None, 8, 2, 8, 9, None, 0]"
"<f58v.12,+P0>","[None, None, None, None, None, 8, 5, None, 3, None]"
"<f58v.13,+P0>","[None, None, 2, None, 5, 9, None, 3, None, 9]"
"<f58v.14,+P0>","[None, 3, 3, None, None, None, None, None, 5, 3, 5]"
"<f58v.15,+P0>","[None, 6, 9, 5, 8, 3, None, None, 9, None, 2, 8]"
"<f58v.16,+P0>","[2, None, 8, None, None, None, 6, 5, 3]"
"<f58v.17,+P0>","[8, 8, 3, None, 0, None, None, None, None, None]"
"<f58v.18,+P0>","[3, None, None, None, 3, 8, None, None, None, 5]"
"<f58v.19,+P0>","[8, None, None, None, 6, None, 3, None, None]"
"<f58v.20,+P0>","[5, 3, None, None, 0, None, 9, 3, None, None, 6]"
"<f58v.21,+P0>","[6, 6, 6, None, 0, None, 5, None, 0]"
"<f58v.22,+Pc>","[8, None, None]"
"<f58v.23,*P0>","[None, None, None, None, None, 3, None, 3]"
"<f58v.24,+P0>","[None, 8, None, None, None, 9, 3, 3, 3, 9, 3]"
"<f58v.25,+P0>","[None, None, None, None, None, None, None, 8, 3, 2]"
"<f58v.26,+P0>","[2, None, 6, 3, None, 9, 3, 8, 8, 3, None, None, 5]"
"<f58v.27,+P0>","[None, 8, 8, 3, 8, None, None, 6, None, None, 5]"
"<f58v.28,+P0>","[None, None, 9, 0, 9, None, None]"
"<f58v.29,+P0>","[3, None, None, 3, None, None, None, 2, 5]"
"<f58v.30,+P0>","[8, None, None, None, None, None, 0, 5, 6, 8]"
"<f58v.31,+P0>","[None, None, 9, 9, None, None, None, None, 3, None]"
"<f58v.32,+P0>","[None, None, None, None, 8, 2, None, 0, 9, None]"
"<f58v.33,+P0>","[None, None, None]"
"<f58v.34,+P0>","[8, None, None, 3, None, 3, None, None, None, 0]"
"<f58v.35,+P0>","[8, 0, 0, None, None, None, 6, None, 3, None]"
"<f58v.36,+P0>","[None, None, None, None, 9, None, None, 3]"
"<f58v.37,+P0>","[None, 8, 3, None, 0, 0, None, None, 3]"
"<f58v.38,+P0>","[None, None, None, None, None, 9, 9, None, 3]"
"<f58v.39,+P0>","[None, None, 9, None, None, 3]"
<f65r>,[]
"<f65r.1,@Lp>","[0, 8, 5]"
<f65v>,[]
"<f65v.1,@P0>","[None, None, 8, None, None, None, 3, None]"
"<f65v.2,+P0>","[8, None, 3, 8, None, None, 3, None, 5]"
"<f65v.3,+P0>","[2, None, None, 8, 3, None]"
"<f65v.4,+P0>","[None, 0, None, None, None, None, None]"
"<f65v.5,+P0>","[None, None, None, None, None, None, None, 8]"
"<f65v.6,+P0>","[None, None, None, None, None, None]"
<f66r>,[]
"<f66r.1,@L0>",[5]
"<f66r.2,+L0>",[5]
"<f66r.3,+L0>",[None]
"<f66r.4,+L0>",[3]
"<f66r.5,+L0>",[None]
"<f66r.6,+L0>",[5]
"<f66r.7,+L0>",[5]
"<f66r.8,+L0>",[8]
"<f66r.9,+L0>",[None]
"<f66r.10,+L0>",[2]
"<f66r.11,+L0>",[8]
"<f66r.12,+L0>",[8]
"<f66r.13,+L0>",[None]
"<f66r.14,+L0>",[None]
"<f66r.15,+L0>",[5]
"<f66r.16,@L0>",[8]
"<f66r.17,+L0>",[8]
"<f66r.18,+L0>",[8]
"<f66r.19,+L0>",[None]
"<f66r.20,+L0>",[8]
"<f66r.21,+L0>",[8]
"<f66r.22,+L0>",[8]
"<f66r.23,+L0>",[3]
"<f66r.24,+L0>",[7]
"<f66r.25,+L0>",[8]
"<f66r.26,+L0>",[3]
"<f66r.27,+L0>",[8]
"<f66r.28,+L0>",[None]
"<f66r.29,+L0>",[8]
"<f66r.30,+L0>",[3]
"<f66r.31,+L0>",[3]
"<f66r.32,+L0>",[8]
"<f66r.33,+L0>",[8]
"<f66r.34,+L0>",[8]
"<f66r.35,+L0>",[8]
"<f66r.36,+L0>",[3]
"<f66r.37,+L0>",[7]
"<f66r.38,+L0>",[8]
"<f66r.39,+L0>",[8]
"<f66r.40,+L0>",[3]
"<f66r.41,+L0>",[8]
"<f66r.42,+L0>",[8]
"<f66r.43,+L0>",[3]
"<f66r.44,+L0>",[8]
"<f66r.45,+L0>",[3]
"<f66r.46,+L0>",[8]
"<f66r.47,+L0>",[8]
"<f66r.48,+L0>",[8]
"<f66r.49,+L0>",[8]
"<f66r.50,@P0>","[7, None, None, None, None, None, None, None, None]"
"<f66r.51,+P0>","[5, None, None, 9, None, None, None, None, None]"
"<f66r.52,+P0>","[None, None, None, None, None, None, 8, None, None, None]"
"<f66r.53,+P0>","[None, None, None, None, None, None, 2, 3, None, 9, 3]"
"<f66r.54,+P0>","[None, None, None, None, None, None, None, 5]"
"<f66r.55,+P0>","[None, None, None, None, None, 3, None, 3]"
"<f66r.56,+P0>","[None, 8, None]"
"<f66r.57,+P0>","[None, 8, None, None, None, None, 5, 2, 8]"
"<f66r.58,+P0>","[None, 3, None, None, None, None, 3, None, None, 2]"
"<f66r.59,+P0>","[None, None, None, None, None, None, None, None, 8]"
"<f66r.60,+P0>","[None, None, None, None, None, None, None, None, 9]"
"<f66r.61,+P0>","[None, None, None, 3, 8, None, None, 5, 6, None]"
"<f66r.62,+P0>","[6, None, 5, None, 3, 5, None, 8, 8]"
"<f66r.63,+P0>","[None, None, None, 0, None, None, 3, 6, 5]"
"<f66r.64,+P0>","[None, None, 5, None, None, None, 3, 8, None, None]"
"<f66r.65,+P0>","[8, None, 8, None, None, None, 3, None, None, 8]"
"<f66r.66,+P0>","[None, None, None, None, 3, None]"
"<f66r.67,+P0>","[None, None, None, None, None, 2, None, None, 5]"
"<f66r.68,+P0>","[5, 6, 8, 8, 3, 8, None, 5, 5, None]"
"<f66r.69,+P0>","[None, None, 8, 6, None, None, 3, None, 6]"
"<f66r.70,+P0>","[None, None, None, None, None, None, None, None, None, 9, 3]"
"<f66r.71,+P0>","[5, None, 9, None, None, 3, None, None, None, None]"
"<f66r.72,+P0>","[None, None, None, None, 6, None, None, None, None]"
"<f66r.73,+P0>","[None, None, None, None, None, None, None, None, None]"
"<f66r.74,+P0>","[3, None, None, None, None, None, None, 0]"
"<f66r.75,+P0>","[None, None, None, None, 6, 3, None, None, None, None, 8]"
"<f66r.76,+P0>","[8, None, None, None, None, None, None, None, None]"
"<f66r.77,+P0>","[None, 3, None, None, None, None, None, None, None, 3]"
"<f66r.78,+P0>","[8, 8, None, None, None, None, None, 3, 8]"
"<f66r.79,+P0>","[None, None, 3, None, None, 9, None, None]"
